Food products,Average volume,Amount,Energy,Carbohydrate,Protien,Total Fat,Sodium,Iron
,,,,,,,,
Idly sambar,2 idlis + ½ bowl sambar,150,234.72,37.13,7.36,5.73,422.78,1.86
Masala dosa,1 dosa + ½ bowl chutney & sambar,150,204.7,24.47,4.34,9.98,218.24,1.26
Butter chicken ,1 bowl,150,264.52,6.4,18.91,18.37,907.85,1.7
Dal Makhani,1 bowl,150,179.79,10.93,4.36,13.21,709.35,1.43
Chole bhature,2 bhatura + 1 bowl chole,150,282.47,22.66,5.63,18.7,364.94,1.32
Pav bhaji,2 pav + 1 bowl bhaji,150,202.53,32.54,5.74,4.71,312.24,0.58
Samosa,1 samosa,50,181.02,11.37,2.05,13.95,313.63,0.69
Appam,6 appams + ½ bowl curry,150,242.78,35.43,3.38,9.39,286.71,1.82
Upma,1 bowl,150,178.88,22.68,4.33,7.29,202.11,1.17
Pani puri,6 puris with filling,100,116.57,16.89,1.57,4.5,401.68,1.02
Kadai panner,1 bowl,100,160.48,7.36,5.77,11.9,408.76,0.78
Dhokla,4 small pieces,50,114.13,13.88,4.54,4.44,400.79,1.28
Pakode,10-12 small pieces,100,297.81,27.08,9.86,16.34,907.29,2.31
Jalebi ,4-5 pieces,50,178.46,25.94,1.42,7.66,1.14,0.32
Kathi rolls,1 roll,100,167.67,16.27,6.64,8.39,452.11,0.72
Chapati,2 rotis,50,219.13,43.86,7.23,1.05,1.39,2.8
Roti ,2 rotis,50,219.13,43.86,7.23,1.05,1.39,2.8
Bhindi masala,1 bowl,100,118.5,5.1,2.68,9.46,467.44,1.41
Biryani,1 bowl,150,231.19,24.14,3.32,13.35,96.49,1.03
Mysore pak,3 pieces,50,231.53,30.03,1.9,11.36,118.22,0.43
Aloo matar,1 bowl,150,124.72,17.58,3.45,3.39,313.1,0.78